时刻   状态       pose.en  Curl  握拳度R  握拳度L   CurrentSpeed
-----------------------------------------------------------------
== 比值 > 1.45 的帧 ==
 3.18   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.19   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.20   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.20   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.21   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.22   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.22   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.23   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.24   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.24   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.25   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.26   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.26   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.27   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.28   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.29   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.29   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.30   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
